Año >> 1990 | País >> Antigua y Barbuda | Emisiones de CO2 per cápita (metrics tons per cápita) >> 3.8175
Año >> 1991 | País >> Antigua y Barbuda | Emisiones de CO2 per cápita (metrics tons per cápita) >> 3.9142
Año >> 1992 | País >> Antigua y Barbuda | Emisiones de CO2 per cápita (metrics tons per cápita) >> 3.8523
Año >> 1993 | País >> Antigua y Barbuda | Emisiones de CO2 per cápita (metrics tons per cápita) >> 3.8950
Año >> 1994 | País >> Antigua y Barbuda | Emisiones de CO2 per cápita (metrics tons per cápita) >> 3.9867
Año >> 1995 | País >> Antigua y Barbuda | Emisiones de CO2 per cápita (metrics tons per cápita) >> 3.9630
Año >> 1996 | País >> Antigua y Barbuda | Emisiones de CO2 per cápita (metrics tons per cápita) >> 4.1459
Año >> 1997 | País >> Antigua y Barbuda | Emisiones de CO2 per cápita (metrics tons per cápita) >> 4.3721
Año >> 1998 | País >> Antigua y Barbuda | Emisiones de CO2 per cápita (metrics tons per cápita) >> 4.4419
Año >> 1999 | País >> Antigua y Barbuda | Emisiones de CO2 per cápita (metrics tons per cápita) >> 4.6648
Año >> 2000 | País >> Antigua y Barbuda | Emisiones de CO2 per cápita (metrics tons per cápita) >> 4.7344
Año >> 2001 | País >> Antigua y Barbuda | Emisiones de CO2 per cápita (metrics tons per cápita) >> 4.8548
Año >> 2002 | País >> Antigua y Barbuda | Emisiones de CO2 per cápita (metrics tons per cápita) >> 5.2671
Año >> 2003 | País >> Antigua y Barbuda | Emisiones de CO2 per cápita (metrics tons per cápita) >> 5.4893
Año >> 2004 | País >> Antigua y Barbuda | Emisiones de CO2 per cápita (metrics tons per cápita) >> 5.7080
Año >> 2005 | País >> Antigua y Barbuda | Emisiones de CO2 per cápita (metrics tons per cápita) >> 6.0089
Año >> 2006 | País >> Antigua y Barbuda | Emisiones de CO2 per cápita (metrics tons per cápita) >> 6.3852
Año >> 2007 | País >> Antigua y Barbuda | Emisiones de CO2 per cápita (metrics tons per cápita) >> 6.5209
Año >> 2008 | País >> Antigua y Barbuda | Emisiones de CO2 per cápita (metrics tons per cápita) >> 6.4684
Año >> 2009 | País >> Antigua y Barbuda | Emisiones de CO2 per cápita (metrics tons per cápita) >> 6.5873
Año >> 2010 | País >> Antigua y Barbuda | Emisiones de CO2 per cápita (metrics tons per cápita) >> 6.4123
Año >> 2011 | País >> Antigua y Barbuda | Emisiones de CO2 per cápita (metrics tons per cápita) >> 6.2933
Año >> 2012 | País >> Antigua y Barbuda | Emisiones de CO2 per cápita (metrics tons per cápita) >> 6.3512
Año >> 2013 | País >> Antigua y Barbuda | Emisiones de CO2 per cápita (metrics tons per cápita) >> 6.2921
Año >> 2014 | País >> Antigua y Barbuda | Emisiones de CO2 per cápita (metrics tons per cápita) >> 6.3631
Año >> 2015 | País >> Antigua y Barbuda | Emisiones de CO2 per cápita (metrics tons per cápita) >> 6.4761
Año >> 2016 | País >> Antigua y Barbuda | Emisiones de CO2 per cápita (metrics tons per cápita) >> 6.5938
Año >> 2017 | País >> Antigua y Barbuda | Emisiones de CO2 per cápita (metrics tons per cápita) >> 6.6338
Año >> 2018 | País >> Antigua y Barbuda | Emisiones de CO2 per cápita (metrics tons per cápita) >> 6.7168
Año >> 2019 | País >> Antigua y Barbuda | Emisiones de CO2 per cápita (metrics tons per cápita) >> 6.9600
Año >> 2020 | País >> Antigua y Barbuda | Emisiones de CO2 per cápita (metrics tons per cápita) >> 6.6818
Año >> 2021 | País >> Antigua y Barbuda | Emisiones de CO2 per cápita (metrics tons per cápita) >> 6.4003
Año >> 2022 | País >> Antigua y Barbuda | Emisiones de CO2 per cápita (metrics tons per cápita) >> 6.4219
Total de emisiones en Antigua y Barbuda >> 183.6742

Año >> 1990 | País >> Argentina | Emisiones de CO2 per cápita (metrics tons per cápita) >> 3.4340
Año >> 1991 | País >> Argentina | Emisiones de CO2 per cápita (metrics tons per cápita) >> 3.5494
Año >> 1992 | País >> Argentina | Emisiones de CO2 per cápita (metrics tons per cápita) >> 3.6115
Año >> 1993 | País >> Argentina | Emisiones de CO2 per cápita (metrics tons per cápita) >> 3.4613
Año >> 1994 | País >> Argentina | Emisiones de CO2 per cápita (metrics tons per cápita) >> 3.4350
Año >> 1995 | País >> Argentina | Emisiones de CO2 per cápita (metrics tons per cápita) >> 3.5838
Año >> 1996 | País >> Argentina | Emisiones de CO2 per cápita (metrics tons per cápita) >> 3.7055
Año >> 1997 | País >> Argentina | Emisiones de CO2 per cápita (metrics tons per cápita) >> 3.8118
Año >> 1998 | País >> Argentina | Emisiones de CO2 per cápita (metrics tons per cápita) >> 3.8364
Año >> 1999 | País >> Argentina | Emisiones de CO2 per cápita (metrics tons per cápita) >> 4.0290
Año >> 2000 | País >> Argentina | Emisiones de CO2 per cápita (metrics tons per cápita) >> 3.8512
Año >> 2001 | País >> Argentina | Emisiones de CO2 per cápita (metrics tons per cápita) >> 3.5865
Año >> 2002 | País >> Argentina | Emisiones de CO2 per cápita (metrics tons per cápita) >> 3.2851
Año >> 2003 | País >> Argentina | Emisiones de CO2 per cápita (metrics tons per cápita) >> 3.5005
Año >> 2004 | País >> Argentina | Emisiones de CO2 per cápita (metrics tons per cápita) >> 4.0527
Año >> 2005 | País >> Argentina | Emisiones de CO2 per cápita (metrics tons per cápita) >> 4.1256
Año >> 2006 | País >> Argentina | Emisiones de CO2 per cápita (metrics tons per cápita) >> 4.4130
Año >> 2007 | País >> Argentina | Emisiones de CO2 per cápita (metrics tons per cápita) >> 4.3505
